,MAE,MSE,RMSE,R2,ExplainedVariance
"RandomForest_{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",4.727019481201716,42.79915978060593,6.449950537464258,0.508976000082454,0.5604359470689761
"RandomForest_{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",4.701541298053329,42.84891998323373,6.46055905394328,0.5049399745450259,0.5581454545408729
"RandomForest_{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 300}",4.704388871767869,42.801530809717164,6.451852278648419,0.506608627672073,0.558199242877044
"RandomForest_{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",4.687072808093534,42.70266594690763,6.4504298687947,0.5088717358776942,0.5594839465290725
"RandomForest_{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",4.653146647731189,41.93022367068587,6.3892392185728175,0.5167151294833696,0.5681749768149469
"RandomForest_{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 300}",4.637928623683529,41.79692297596844,6.3838155184559,0.5185174643455432,0.5681172725615922
"RandomForest_{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",4.727981478289487,43.10576662219782,6.471731185611674,0.5028365865292906,0.5562855677258499
"RandomForest_{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",4.698034543565181,42.76271284381955,6.445199593967288,0.5059646278334065,0.5579315329959982
"RandomForest_{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 300}",4.731540933103527,43.20025993063586,6.4867379229030915,0.501561995074675,0.5524125324089314
"RandomForest_{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",4.676354993504401,42.05088425330327,6.4027268320717665,0.5142714736552433,0.5643250493712448
"RandomForest_{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",4.68273690758124,42.306507879576536,6.425459540102554,0.5126203729996096,0.560197707337043
"RandomForest_{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 300}",4.662648997241378,41.90467992989671,6.394136280327946,0.5166070050813415,0.5649747203101574
"RandomForest_{'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 100}",4.6997412816458475,42.85124964574812,6.463867927289717,0.5079357754689477,0.5590459167152968
"RandomForest_{'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 200}",4.722265743715887,43.1704094588889,6.480297623350315,0.502059342997222,0.5527536282483363
"RandomForest_{'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 300}",4.695609057270562,42.49687934942946,6.430996901934177,0.5095604688264738,0.5615369601053672
"RandomForest_{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 100}",4.700427144570826,42.48533355864663,6.429427432482631,0.5113883802492097,0.5599296879983878
"RandomForest_{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 200}",4.687960128234315,42.35365158944147,6.4260247210528805,0.5127603293792783,0.5628990010200803
"RandomForest_{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 300}",4.686436286147321,42.260481874835214,6.419036371571792,0.5128508123965203,0.5609023593692806
"GradientBoosting_{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",6.029544500500535,50.52094703050391,7.0479236707943995,0.4303596069598667,0.5557947262017903
"GradientBoosting_{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",5.0127604728889725,42.34037755731581,6.426984735656776,0.5194899040077676,0.5899178661832444
"GradientBoosting_{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",6.02346783515353,51.093784221603244,7.087580296671915,0.42764350652709854,0.5465858982222415
"GradientBoosting_{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",5.080811860099505,44.1510389016532,6.556851158333581,0.5015525250885607,0.5694347104434412
"GradientBoosting_{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",4.8622936843814495,45.432220314622455,6.638940599096495,0.48342054396235123,0.539315888769409
"GradientBoosting_{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",5.021894230852071,48.57410212669238,6.873078577786164,0.444041832030333,0.5032066875751682
"GradientBoosting_{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",4.904225939418519,47.246094322058354,6.772615680653916,0.4603689525662462,0.5120819021167708
"GradientBoosting_{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",4.961608513822524,48.12023338623881,6.826029269329206,0.4489550212086524,0.5035436697438211
KNN_{'n_neighbors': 3},6.730544641262567,83.12702334841006,8.786107771409037,0.11674221605076936,0.3921066505336605
KNN_{'n_neighbors': 5},7.181536424645637,87.66154555225255,9.009151793692276,0.06477015692864382,0.4080908022405582
KNN_{'n_neighbors': 7},7.616288539750753,93.1828791857325,9.339825080076874,0.001330448261055417,0.3786173374300487
LinearRegression_{},5.947765205111588,119.19872229707485,9.191397779512707,-0.2142637552930419,-0.024438311051336047
